pair,Total Return (%),Ann. Return (%),Ann. Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Win Rate (%),Profit Factor,Total Trades,Final Equity (₹)
SBILIFE / TATACONSUM,26.5,12.74,14.7,0.477,0.617,1.088,-11.71,56.67,1.284,20,126497.24
AXISBANK / JSWSTEEL,26.44,12.71,20.7,0.337,0.398,1.094,-11.62,58.28,1.213,25,126436.57
APOLLOHOSP / COLPAL,22.27,10.8,26.59,0.183,0.222,0.392,-27.58,48.91,1.103,17,122271.48
DRREDDY / ULTRACEMCO,15.43,7.6,17.31,0.079,0.096,0.316,-24.06,50.36,1.111,15,115432.86
APOLLOHOSP / ULTRACEMCO,10.07,5.02,12.13,-0.112,-0.169,0.4,-12.54,50.22,1.113,20,110074.72
APOLLOHOSP / TATACONSUM,-29.73,-16.47,81.73,-0.265,-0.383,-0.117,-141.33,48.58,0.954,17,70274.2
APOLLOHOSP / PERSISTENT,-2.21,-1.14,23.0,-0.332,-0.432,-0.029,-39.72,51.39,0.988,22,97787.12
APOLLOHOSP / HCLTECH,-46.84,-27.56,67.15,-0.453,-0.7,-0.297,-92.79,47.79,0.916,24,53156.63
APOLLOHOSP / DLF,-59.09,-36.61,78.54,-0.467,-0.724,-0.355,-103.2,45.74,0.907,20,40912.94
APOLLOHOSP / TCS,-26.92,-14.78,38.89,-0.52,-0.779,-0.25,-59.21,47.23,0.907,19,73083.14
