stock_1,stock_2,p_value,hedge_ratio,alpha,adf_stat,half_life
APOLLOHOSP.NS,HCLTECH.NS,0.0001,3.5405,1141.8969,-5.1133,14.7
AXISBANK.NS,JSWSTEEL.NS,0.00017,1.5768,-243.9261,-4.9959,10.2
DRREDDY.NS,ULTRACEMCO.NS,0.0009,0.0962,234.0259,-4.5851,22.1
APOLLOHOSP.NS,COLPAL.NS,0.00179,1.4279,2385.5225,-4.4028,22.9
APOLLOHOSP.NS,DRREDDY.NS,0.00229,4.1289,801.9767,-4.3314,21.9
APOLLOHOSP.NS,PERSISTENT.NS,0.00234,0.849,2761.7725,-4.3227,17.5
SBILIFE.NS,TATACONSUM.NS,0.00253,0.817,567.3703,-4.3011,15.4
APOLLOHOSP.NS,ULTRACEMCO.NS,0.00268,0.4988,992.8555,-4.285,16.2
LT.NS,NESTLEIND.NS,0.0027,4.6073,-2386.4567,-4.282,13.9
DRREDDY.NS,NESTLEIND.NS,0.00278,0.8583,104.3152,-4.2834,23.8
APOLLOHOSP.NS,BPCL.NS,0.00296,13.7594,2470.5129,-4.2589,19.2
INDUSINDBK.NS,NESTLEIND.NS,0.00313,1.5201,-359.0395,-4.2403,14.2
BHARTIARTL.NS,SBIN.NS,0.0034,1.8738,-162.6792,-4.2175,14.1
APOLLOHOSP.NS,DLF.NS,0.00398,3.7168,3039.8229,-4.1724,16.0
BHARTIARTL.NS,POWERGRID.NS,0.00422,3.7805,211.3982,-4.1571,13.5
APOLLOHOSP.NS,TATACONSUM.NS,0.00445,4.6033,1007.1379,-4.1398,17.0
APOLLOHOSP.NS,HEROMOTOCO.NS,0.00457,0.755,2712.7643,-4.1374,25.3
APOLLOHOSP.NS,TCS.NS,0.00495,2.1729,-2039.586,-4.1088,16.6
APOLLOHOSP.NS,ONGC.NS,0.005,13.5963,2853.7222,-4.1071,19.2
JSWSTEEL.NS,NESTLEIND.NS,0.00534,0.5484,158.9353,-4.0861,14.8
BHARTIARTL.NS,GRASIM.NS,0.0055,0.7074,-413.5301,-4.0776,16.0
COALINDIA.NS,SUNPHARMA.NS,0.00648,0.3846,-183.1425,-4.0287,16.1
APOLLOHOSP.NS,NMDC.NS,0.00655,37.8377,3314.6614,-4.0348,21.6
MPHASIS.NS,WIPRO.NS,0.00675,7.8929,532.5129,-4.0173,22.0
ICICIBANK.NS,MARUTI.NS,0.00716,0.0788,157.5495,-3.9987,18.3
APOLLOHOSP.NS,GRASIM.NS,0.0079,2.3974,594.794,-3.9676,18.1
HAVELLS.NS,MARICO.NS,0.00891,3.7115,-599.881,-3.9307,16.2
APOLLOHOSP.NS,IOC.NS,0.00902,20.1719,3185.3441,-3.9322,16.8
ADANIPORTS.NS,RELIANCE.NS,0.00964,1.5088,-941.3715,-3.9066,17.9
DRREDDY.NS,PERSISTENT.NS,0.00995,0.1499,608.2814,-3.9036,31.1
EICHERMOT.NS,ICICIBANK.NS,0.00998,4.21,-435.2251,-3.8958,17.9
AXISBANK.NS,BRITANNIA.NS,0.01006,0.2168,-0.6047,-3.891,18.9
APOLLOHOSP.NS,BAJAJ-AUTO.NS,0.01049,0.3462,3251.0895,-3.8868,23.3
KOTAKBANK.NS,WIPRO.NS,0.01058,0.0976,340.8655,-3.8772,17.4
APOLLOHOSP.NS,LT.NS,0.01066,0.9257,2716.11,-3.8758,21.5
CIPLA.NS,SBILIFE.NS,0.01095,1.2348,-482.6009,-3.8667,14.5
DRREDDY.NS,HCLTECH.NS,0.01126,0.6275,319.9158,-3.8653,31.3
SBILIFE.NS,TVSMOTOR.NS,0.0113,0.213,993.187,-3.8612,15.7
SBIN.NS,SIEMENS.NS,0.01171,0.1367,266.1223,-3.8427,23.0
DABUR.NS,DIVISLAB.NS,0.01186,0.0285,428.1181,-3.8403,17.0
SUNPHARMA.NS,TVSMOTOR.NS,0.01237,0.4295,501.3968,-3.8332,31.1
APOLLOHOSP.NS,NTPC.NS,0.01254,8.1168,3339.5256,-3.8242,24.7
KOTAKBANK.NS,MPHASIS.NS,0.01277,0.01,339.7701,-3.8168,17.7
DABUR.NS,HDFCLIFE.NS,0.01307,0.2594,382.64,-3.8085,16.9
KOTAKBANK.NS,SHREECEM.NS,0.01311,0.001,338.4594,-3.8084,18.0
APOLLOHOSP.NS,NESTLEIND.NS,0.01367,4.4834,287.3319,-3.7952,19.6
KOTAKBANK.NS,TECHM.NS,0.01434,0.0161,344.7362,-3.779,18.1
DLF.NS,IOC.NS,0.01485,5.4437,37.8267,-3.7682,17.0
SBILIFE.NS,TITAN.NS,0.01523,0.2109,670.1776,-3.7589,17.4
SBILIFE.NS,SUNPHARMA.NS,0.01586,0.4689,771.5218,-3.746,16.4
APOLLOHOSP.NS,IDEA.NS,0.01624,184.0779,2916.6627,-3.7385,22.6
APOLLOHOSP.NS,ICICIGI.NS,0.0163,2.7822,1123.0466,-3.7379,27.5
COALINDIA.NS,NTPC.NS,0.01715,1.254,-24.0854,-3.7198,16.1
APOLLOHOSP.NS,SUNPHARMA.NS,0.0174,2.532,2267.1709,-3.7151,27.9
ABB.NS,SBIN.NS,0.01826,14.3997,-4158.08,-3.6964,21.5
APOLLOHOSP.NS,SBILIFE.NS,0.01914,4.6851,-1012.2908,-3.6827,19.0
APOLLOHOSP.NS,JSWSTEEL.NS,0.02072,6.4167,237.971,-3.656,21.6
ICICIBANK.NS,TVSMOTOR.NS,0.02073,0.2324,584.769,-3.6581,20.2
BHARTIARTL.NS,HEROMOTOCO.NS,0.02132,0.2354,176.4067,-3.6515,24.9
ICICIGI.NS,TATASTEEL.NS,0.02133,7.6775,465.8975,-3.6462,22.3
DRREDDY.NS,TATACONSUM.NS,0.02155,0.869,252.2841,-3.6453,26.0
AXISBANK.NS,NESTLEIND.NS,0.02172,0.9884,-117.7361,-3.639,17.7
LT.NS,PERSISTENT.NS,0.02237,0.839,236.8326,-3.6314,26.9
DABUR.NS,SHREECEM.NS,0.0225,0.0058,394.8738,-3.627,19.2
NTPC.NS,SUNPHARMA.NS,0.0226,0.304,-124.2042,-3.6256,15.0
LT.NS,SBILIFE.NS,0.02351,4.6855,-3561.8063,-3.612,20.0
SBILIFE.NS,SBIN.NS,0.02386,1.0618,679.5695,-3.607,20.2
COLPAL.NS,TATACONSUM.NS,0.02397,2.9318,-724.7696,-3.601,19.4
HAVELLS.NS,HEROMOTOCO.NS,0.02503,0.1618,833.7356,-3.5907,26.0
INDUSINDBK.NS,JSWSTEEL.NS,0.02519,2.2869,-454.8413,-3.5876,18.9
DRREDDY.NS,LT.NS,0.02598,0.1776,568.4989,-3.5809,26.9
DRREDDY.NS,SBILIFE.NS,0.02607,0.8323,-64.2605,-3.5797,26.4
MARICO.NS,SIEMENS.NS,0.02628,0.0285,452.0602,-3.5728,16.1
RELIANCE.NS,TATACONSUM.NS,0.02699,0.8017,517.1437,-3.5623,19.7
IOC.NS,RELIANCE.NS,0.02731,0.2196,-178.55,-3.5592,21.2
ONGC.NS,PERSISTENT.NS,0.02774,0.0569,6.5449,-3.5522,18.2
BAJAJ-AUTO.NS,BHARTIARTL.NS,0.029,8.3126,-2403.7234,-3.5384,27.2
MARUTI.NS,SUNPHARMA.NS,0.02908,6.0931,2748.3719,-3.5368,21.2
MARICO.NS,TATASTEEL.NS,0.02971,1.0732,387.1301,-3.5286,15.1
SBILIFE.NS,ULTRACEMCO.NS,0.02974,0.0818,616.2053,-3.5291,22.8
INDUSINDBK.NS,SBILIFE.NS,0.03028,1.5523,-754.7746,-3.5225,19.2
COLPAL.NS,DLF.NS,0.03133,2.2979,602.6463,-3.5098,20.6
HCLTECH.NS,PERSISTENT.NS,0.03162,0.2327,474.6387,-3.5059,19.7
DABUR.NS,ICICIGI.NS,0.03287,0.0586,459.5511,-3.4921,20.8
